,NBAC_nfireid,WFS event,T2_area,dice_coefficient,Relative Percent Difference,NFDB_fireid
176,661.0,1492,109103.77894574082,0.0006323824397416675,199.87076666109326,
177,,1492,109103.77894574082,0.00023633514637838192,199.89526139005537,23BN-SHAD
178,350.0,1503,113229.40045508252,0.00019703129160673636,199.96059374167868,
179,,1503,113229.40045508252,0.0001200385383943936,199.97599229232114,23LX-SHAW
180,661.0,1505,207708698.07263184,0.5357911693115276,47.635736156151474,
181,,1505,207708698.07263184,0.5816418963695769,66.91105137517361,23BN-SHAD
182,661.0,1508,65640.91738363962,0.0003819554311372482,199.9222383775986,
183,,1508,65640.91738363962,0.00013977484656948813,199.9369787579478,23BN-SHAD
184,1003.0,1524,230409.43512059172,0.07657283972776158,129.05798040937293,
185,,1524,230409.43512059172,0.07657283972621708,129.05798040969296,23HB-SUGGI
186,622.0,1529,70321366.74762192,0.8042652071834255,37.31254132462045,
187,,1529,70321366.74762192,0.9393303904841641,8.271208747427686,23LA-GERMAN
188,617.0,1532,11944831.016901989,0.6833287676328573,42.64895707965336,
189,,1532,11944831.016901989,0.7282669565323993,30.01593785140993,23SR-BENTLEY
190,670.0,1535,282289.3641474719,0.02916213969711421,194.16757206057713,
191,,1535,282289.3641474719,0.022507443535851643,195.49851129282965,23BN-AARON
192,616.0,1540,76995282.09027861,0.783817041804235,33.37558453221802,
193,,1540,76995282.09027861,0.8852075121113228,13.310032570152755,23SR-MESSUM
194,633.0,1541,180998044.0027987,0.8964543200522372,15.821594685376128,
195,,1541,180998044.0027987,0.9346630971218133,8.767172830800787,23SR-SEGUIN
196,666.0,1550,12963138.25693209,0.42029315390108657,114.05493451136522,
197,,1550,12963138.25693209,0.4734784160268851,103.66853465077122,23BN-PARKER
198,1000.0,1554,2469506.740723557,0.540725178490989,83.66474528787481,
199,,1554,2469506.740723557,0.5407251784902954,83.66474528835383,23LA-FRIDAY
200,1001.0,1555,712564.1620877637,0.7408940324335863,38.308631452430156,
201,,1555,712564.1620877637,0.7408940324379141,38.308631453079684,23LA-HAWK
202,644.0,1556,4971690.490943297,0.5200061128925497,25.681804337438596,
203,,1556,4971690.490943297,0.4996111924651443,23.907478465807323,23LA-NICOLE
204,609.0,1559,5584071.693902211,0.8680901644536855,3.6655297719879547,
205,,1559,5584071.693902211,0.9119854551779307,3.53002943581962,23SR-ZANGE
206,642.0,1561,121733103.97185259,0.619206381283419,74.19933453857229,
207,,1561,121733103.97185259,0.8681350958698169,23.547858683630544,23LA-PELT
208,54.0,1564,4370401.347623389,0.026317626485939685,178.84107161878177,
209,,1564,4370401.347623389,0.0346116023655357,180.1939983127138,23SR-DORRELL
210,635.0,1566,116285870.69508101,0.7678807072639776,42.76973959609982,
211,,1566,116285870.69508101,0.8864755506085795,19.19123730433204,23LA-POOLE
212,646.0,1568,83973389.47141734,0.7897047821019841,39.92637139658743,
213,,1568,83973389.47141734,0.8669580580393379,14.416382827491713,23SR-TODOS
214,626.0,1574,90691353.89507227,0.7986487034811107,38.33872131287507,
215,,1574,90691353.89507227,0.9004205219914093,14.514892354747765,23LA-BAY
216,653.0,1582,15496266.609053282,0.79653294507632,9.969153138434402,
217,,1582,15496266.609053282,0.826086982738018,5.043276719591111,23LX-CREE
218,654.0,1586,54149719.01323954,0.7698482283038991,31.804496463367784,
219,,1586,54149719.01323954,0.8226245919865424,21.072074699387,23SR-HELMER
220,1005.0,1590,607827.659094595,0.5368949081169672,44.803491496343426,
221,,1590,607827.659094595,0.5368949081215523,44.80349149625493,23BN-GOLD
222,636.0,1595,3087137.411073594,0.1173753784883525,165.44090230431073,
223,,1595,3087137.411073594,0.10423163352275834,172.58072191162012,23LA-BRAD
224,163.0,1602,2181610.0834190715,0.865174579234368,20.654943791474217,
225,631.0,1613,21671691.23253628,0.7117709919161275,55.637553423606334,
226,,1613,21671691.23253628,0.8664762453932648,25.507913145154763,23DB-TRAILL
227,624.0,1623,155118902.86876127,0.7007883031965635,39.04598762321652,
228,,1623,155118902.86876127,0.7607892906346195,27.60241244183846,23SR-HAMIL
229,1004.0,1625,1335821.8069390187,0.6320358329629632,7.523421142494439,
230,,1625,1335821.8069390187,0.6320358329617964,7.523421142550737,23LX-KEELEY
231,629.0,1627,44206916.947396584,0.728406539793587,43.30068674993275,
232,,1627,44206916.947396584,0.7552110940827726,34.756413112743466,23SR-EISEN
233,,1627,44206916.947396584,0.11256972948137763,177.44418927280847,23SR-EISEN2
234,647.0,1636,113229.40056041392,0.004796802092856541,199.04063958142868,
235,,1636,113229.40056041392,0.037918514485852706,192.41629710282947,23LA-ISLAND
236,639.0,1639,3379245.0444770614,0.7697199544487843,20.352757470688832,
237,,1639,3379245.0444770614,0.8020760078857059,30.273601246908726,23SR-PREMIER
238,614.0,1652,144197.51440543254,0.011150798559020902,197.44396232006977,
239,,1652,144197.51440543254,0.00996811627638283,197.83126363914323,23LA-BED
240,1004.0,1662,113229.40055403799,0.0069077125101970815,166.5050121178182,
241,,1662,113229.40055403799,0.006907712510160763,166.5050121178009,23LX-KEELEY
242,629.0,1681,706038.0328449582,0.036373506520122285,190.32087955853973,
243,,1681,706038.0328449582,0.03503023874421822,191.1254408976762,23SR-EISEN
244,620.0,1685,10052428.711190937,0.6358743119101395,22.459067086492983,
245,,1685,10052428.711190937,0.8562199741926247,0.6467897127746103,23LA-MULLIN
246,665.0,1698,91925124.35939851,0.7916177804064654,34.48671929289554,
247,,1698,91925124.35939851,0.3664012156711471,113.28305871281417,23BN-BENT
248,,1698,91925124.35939851,0.6641202409501402,66.21692341992804,23BN-BROAD
249,629.0,1709,113229.40057283554,0.005656130882032035,198.41553922994873,
250,,1709,113229.40057283554,0.0056357249817980334,198.54974501187525,23SR-EISEN
251,,1727,90985.91896245051,0.0002806719090849006,199.1713081713005,23SR-HELMER
252,,1734,78606.04380432761,3.149312015100639e-07,199.62556241722115,23SR-DORRELL
253,616.0,1739,94451.08460362007,0.0030053658789524025,199.31392109555944,
254,,1739,94451.08460362007,0.002717789254388664,199.44013304524967,23SR-MESSUM
255,617.0,1740,339696.77933982183,0.04509790701071341,183.19494293821498,
256,,1740,339696.77933982183,0.042337740163205156,185.1774804074834,23SR-BENTLEY
257,618.0,1741,113229.40044138813,0.005978133272604602,198.625853055992,
258,,1741,113229.40044138813,0.00585877124345712,198.78991911004505,23SR-PHELPS
259,613.0,1743,7013703.543208475,0.7226314060011909,35.4224094494484,
260,,1743,7013703.543208475,0.028955747779625483,194.18502627803406,23DB-KAMATSI
261,,1743,7013703.543208475,0.783654137188544,0.7880165211360255,23DB-LAIRD
262,2143.0,1760,7454541.728563634,0.6841060482631616,43.41203010217554,
263,1010.0,1764,990048.5170925754,0.5369075325533793,87.03685960408113,
264,,1764,990048.5170925754,0.5369075325515004,87.03685960419709,23LX-ERIR04
265,620.0,1778,615871.7191446848,0.08891708146014557,181.35357953639408,
266,,1778,615871.7191446848,0.22459308340532208,155.0106104422741,23LA-CAIRNS
267,614.0,1780,24782786.47930746,0.7733572839659156,10.004137701348228,
268,,1780,24782786.47930746,0.8447017229925506,6.513962103837076,23LA-BED
269,620.0,1787,4650738.190011981,0.3174088499218471,92.13457915567072,
270,,1787,4650738.190011981,0.6606144973991644,4.397137354368767,23LA-CAIRNS
271,614.0,1796,1001336.2130052507,0.016102316532034713,182.89989627348473,
272,,1796,1001336.2130052507,0.015106119947126712,185.41007487566915,23LA-BED
273,1011.0,1807,656885.4983921553,0.7456054616142889,6.172356592331633,
274,,1807,656885.4983921553,0.7456054616179977,6.172356592709631,23SR-MAX
275,1011.0,1814,273513.12840075657,0.13624808542590922,77.21997017886515,
276,,1814,273513.12840075657,0.13624808542405178,77.2199701785432,23SR-MAX
277,665.0,1829,1418804.6489534213,0.01526435569537087,191.44067085695693,
278,,1829,1418804.6489534213,0.040854956217949955,178.8740523462636,23BN-BENT
279,667.0,1839,3323781.8875057176,0.807558223989525,8.206143016847065,
280,134.0,1848,3121223.136696024,0.582160771468892,79.78694515971776,
281,,1862,543821.38452377,0.004953327306236501,197.24515350231653,23LA-BAY
282,636.0,1867,46510571.63215156,0.7171909933293797,35.03505102798667,
283,,1867,46510571.63215156,0.8473098917042514,10.313643566383897,23LA-BRAD
284,1016.0,1886,2399489.749937469,0.6686196395274582,44.70662793764801,
285,,1886,2399489.749937469,0.6686196395298009,44.70662793761109,23LF-BAIRD
286,1020.0,1920,113229.40052333019,0.25939635611345463,132.03623605088305,
287,,1920,113229.40052333019,0.2593963561105505,132.036236051259,23LA-KEY
288,1020.0,1929,1388845.0217052023,0.30155303087996965,86.06105069285981,
289,,1929,1388845.0217052023,0.3015530308848939,86.06105069231677,23LA-KEY
290,669.0,1946,15561054.16083291,0.5016812641107237,97.31780357721227,
291,,1946,15561054.16083291,0.9030271418669576,14.265222781459888,23BN-LINVALL
