,NBAC_nfireid,WFS event,area,dice_coefficient,NFDB_fireid
391,665.0,,,0.4667038681451591,23BN-BENT
392,665.0,,,0.7396058264911645,23BN-BROAD
393,666.0,,,0.9060954427413194,23BN-PARKER
394,668.0,,,0.8017193989020295,23BR-SAULTEAUX
395,669.0,,,0.5504951830257083,23BN-LINVALL
396,670.0,,,0.8647949814491015,23BN-AARON
397,671.0,,,0.8630401999469067,23BN-VOLD
398,672.0,,,0.6542019068102045,23BN-GARSON
399,673.0,,,0.8757652516238776,23LX-PAWR03
400,979.0,,,0.9999999999870562,23BN-BRIR01
401,980.0,,,0.9999999999817994,23HB-MUSKEG
402,981.0,,,1.0000000000005338,23BN-LOCAL
403,982.0,,,0.9999999999994933,23HB-DELTA
404,983.0,,,0.999999999991489,23HB-CHIR02
405,984.0,,,0.9999999999928495,23BR-AIR04
406,985.0,,,0.9999999999677718,23LF-CREEK
407,986.0,,,0.9999999999954141,23HB-CLEM
408,987.0,,,1.0000000000002562,23SR-SINGER
409,988.0,,,0.9999999999950114,23BN-BNIR02
410,989.0,,,0.9999999999988767,23LF-PLAKE
